epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_f1_macro,val_roc_auc_macro,learning_rate,timestamp
1,1.2795962630463387,46.01062416998672,0.924765843915278,61.64000770861438,0.40149493924400836,0.8812930230579238,1.806397043144502e-05,2025-10-15 06:59:38
2,1.0047109703228538,56.61708720672864,0.9156650788909849,61.437656581229525,0.4324103110975474,0.8695726802921845,1.605686260572891e-05,2025-10-15 07:39:15
3,0.9467020889978857,59.54138999557326,0.909069975703174,62.410869146270954,0.40226941537441746,0.8761356153535146,1.4049754780012795e-05,2025-10-15 08:18:49
4,0.8857163030906696,63.28198317839752,1.1005575056711587,57.66043553671228,0.39078952681199675,0.8622963722924749,1.2042646954296681e-05,2025-10-15 08:58:25
5,0.8179607950715605,67.30854360336431,0.9816979247336212,61.44729234920023,0.4019566337628547,0.8723397614967853,1.0035539128580568e-05,2025-10-15 09:38:02
6,0.7448611909137429,71.51837096060204,1.0847087616075077,59.73212565041434,0.39003120811776615,0.8656886928033067,8.028431302864454e-06,2025-10-15 10:17:38
7,0.6779626405744007,75.07835325365205,1.1579482513200061,60.25245712083253,0.40073840866156596,0.8690651143892397,6.021323477148341e-06,2025-10-15 10:57:14
8,0.6190999981260114,78.00973882248783,1.2867083858428825,59.63576797070726,0.394496261167367,0.8647846842512803,4.014215651432227e-06,2025-10-15 11:36:52
9,0.5651237462686243,80.65161575918547,1.3636243361204816,59.33705916361534,0.38550863286325016,0.8553159272354657,2.0071078257161136e-06,2025-10-15 12:16:31
10,0.5210114768795311,82.50996015936255,1.4663949623439914,59.17325110811332,0.39092793735552567,0.8567092739936158,0.0,2025-10-15 12:56:08
